identifier,types,subjects
data,generic object,
text,string,text
num,number,
res,generic,
info,generic,text
element,string,html
a,generic,
i,generic,
x,generic,
z,generic,
template,string,html
target,string,html
str,string,
score,number,
time,time number,date
id,number string,code
completed,bool,
isValid,bool,
flag,bool,
form,object,
arr,array,
list,array,
entries,array,
new_list,array,
obj,object,
config,object,
name,string,
color,string,color
bgColor,string,color
primaryColor,string,color
title,string,
msg,string,text
direction,string,direction
index,number,
reg,string,regex
location,string,path
dir,string,path
homeDir,string,path
targetFolder,string,path
fileLocation,string,path
parsedData,generic,
num,number,
maxValue,number,
minValue,number,